"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","settlement_offer","amount_billed"
"009B752659   ","2013","06","Texas               ","75149","100","05232",20000000,57500
" 680 0471C134","2012","08","New Jersey          ","07606","459","05119",0,27100
" 680 9335L466","2012","08","Delaware            ","19808","592","05119",0,8800
"005899H904   ","2013","09","Nevada              ","89032","612","05122",1768000,108200
" 680 6B995001","2012","08","Maine               ","04769","712","05219",0,80800
"006852M804   ","2013","09","Massachusetts       ","02346","924","05121",2640000,166600
"006A878151   ","2013","09","Georgia             ","30291","169","05224",20000000,168200
" 680 8152L707","2012","08","Pennsylvania        ","18104","926","05119",0,2058300
"001C31174A   ","2013","07","Wisconsin           ","54303","416","05256",10000000,15000
" 680 8647X987","2012","05","Oregon              ","97210","719","05219",0,22500
"001C910956   ","2013","08","Illinois            ","60804","719","05121",3498000,54900
"000E361133   ","2013","11","Colorado            ","81657","042","05223",318000,16800
"008402A598   ","2013","07","Utah                ","84037","620","05219",0,33600
" 680 7C082973","2012","08","California          ","94607","712","05119",0,86200
"004542W202   ","2013","07","Montana             ","59102","571","05224",20000000,57600
" 680 1534P299","2012","01","New York            ","11207","712","05121",13000000,211700
" 680 937W0450","2012","08","California          ","94086","712","05219",0,854600
"008D315281   ","2013","10","District of Columbia","20009","040","05223",246000,50100
" 680 9B920961","2012","08","California          ","90210","651","05219",0,18500
" 680 7058X323","2012","03","California          ","90042","651","05219",0,17000
"008906A727   ","2013","11","North Carolina      ","27516","010","05121",217746000,1553400
" 680 3865P139","2012","08","Georgia             ","30096","092","05119",0,29100
" 680 4430A465","2012","08","Pennsylvania        ","17534","599","05119",0,4600
"005650M194   ","2013","08","Texas               ","78741","169","05122",0,30600
" 680 972D2228","2012","02","Virginia            ","20190","691","05219",0,55900
" 680 2115C10A","2012","08","Colorado            ","80235","691","05219",0,8500
"009227C013   ","2013","12","Michigan            ","49201","665","05121",6104000,85700
"007141M229   ","2013","09","Pennsylvania        ","19601","010","05121",6089000,225900
" 680 5343N651","2012","05","Missouri            ","63118","091","05106",0,6800
" 680 1A385588","2012","05","California          ","95815","651","05219",0,11700
" 680 6204P515","2012","02","California          ","95453","712","05219",0,219300
"009163A464   ","2013","10","Connecticut         ","06795","612","05223",10000000,305600
"00777J8439   ","2013","11","New York            ","10310","641","05224",10000000,121900
" 680 9A283148","2012","08","Kentucky            ","40218","712","05219",0,469800
"005776R797   ","2013","08","New Hampshire       ","03801","620","05121",169402000,3584200
"002A506303   ","2013","06","Illinois            ","60102","612","05121",33146000,265300
"001938X038   ","2013","04","Colorado            ","80501","169","05224",20000000,202700
" 680 1B287449","2012","08","Kansas              ","66720","090","05106",0,1400
"001D114923   ","2013","09","Vermont             ","05401","612","05121",0,724000
" 680 8256M866","2012","08","California          ","90048","651","05219",0,12500
"009817B91A   ","2013","09","New Jersey          ","08844","641","05122",6360000,395700
" 680 0556M322","2012","08","California          ","90059","092","05119",0,85000
" 680 4A678108","2012","08","Maine               ","04073","940","05119",0,106700
"007346R351   ","2013","08","New York            ","10573","134","05121",3342000,82600
" 680 5097P928","2012","08","New Hampshire       ","03874","090","05219",0,124400
" 680 2735M080","2012","04","Nevada              ","89121","612","05219",0,38100
" 680 3232X050","2012","02","Arkansas            ","72032","712","05122",1313000,56900
"002D11432A   ","2013","05","Texas               ","77056","597","05122",500000,234400
"002630L618   ","2013","06","Colorado            ","81224","620","05121",11849000,171200
" 680 7A998889","2012","08","Pennsylvania        ","19382","712","05122",4160000,221000
" 680 91K57649","2012","07","Connecticut         ","06851","651","05219",0,34200
"007462M283   ","2013","10","North Carolina      ","28602","612","05121",9037000,504700
" 680 4B050022","2012","08","California          ","93003","712","05219",0,319000
" 680 7481P798","2012","08","New York            ","10007","092","05219",0,69200
" 680 9848R426","2012","08","California          ","92405","719","05119",0,6600
" 680 61L27893","2012","06","New York            ","10004","651","05119",0,48800
" 680 2B569912","2012","01","Illinois            ","60160","091","05106",0,15300
"002A817676   ","2013","08","Colorado            ","81008","714","05121",10785000,41300
" 680 5271L475","2012","07","New Mexico          ","87102","091","05219",0,45300
" 680 2913X59A","2012","01","California          ","95008","712","05219",0,188800
"007409N85A   ","2013","07","Connecticut         ","06770","913","05125",10000000,3400
"006657M144   ","2013","09","Pennsylvania        ","19422","665","05119",0,16900
"004D286277   ","2013","07","South Dakota        ","57702","913","05223",9000,20600
"009345R221   ","2013","10","Maryland            ","20852","416","05122",218000,30800
" 680 7938C454","2012","08","Nebraska            ","68144","599","05122",3283000,45900
" 680 184Y1364","2012","04","Massachusetts       ","02660","712","05121",4060000,192800
"007252C327   ","2013","08","Tennessee           ","37212","640","05122",473000,66200
" 680 5296X723","2012","08","Michigan            ","49007","612","05121",89432000,1469400
"002D736064   ","2013","09","Connecticut         ","06611","983","05223",64000,77100
"006A177438   ","2013","08","Texas               ","76115","042","05121",2758000,166400
"00247M5634   ","2013","11","Illinois            ","61701","620","05121",24985000,194900
"000C80805A   ","2013","07","District of Columbia","20002","592","05122",2500000,119200
"007987P700   ","2013","03","North Carolina      ","28211","665","05121",24592000,85800
"004D004346   ","2013","07","Texas               ","77057","169","05122",420000,139400
" 680 6711P41A","2012","03","Minnesota           ","55118","712","05121",3151000,26800
"003D259683   ","2013","06","Connecticut         ","06855","416","05224",20000000,6200
"005D440916   ","2013","08","Illinois            ","60148","010","05119",0,305900
" 680 8962L415","2012","08","New York            ","11803","599","05119",0,81700
" 680 7041N275","2012","06","California          ","91304","712","05219",0,168000
" 680 9130P017","2012","08","Georgia             ","30021","543","05219",0,3100
" 680 3138N832","2012","03","Kansas              ","67037","744","05122",216000,63900
"003845X272   ","2013","02","Colorado            ","80210","182","05119",0,19000
"005D761933   ","2013","08","Oklahoma            ","74105","612","05223",80000000,136600
" 680 7823N617","2012","07","Delaware            ","19808","600","05121",114931000,1821000
" 680 7B439922","2012","08","Georgia             ","30344","092","05119",0,21300
"009443H479   ","2013","04","Connecticut         ","06790","100","05121",3906000,129500
" 680 4B597408","2012","08","California          ","90038","712","05219",0,1046800
" 680 1D580412","2012","08","California          ","92240","531","05219",0,4400
"003684M952   ","2013","09","Massachusetts       ","02118","719","05224",10000000,32600
" 680 6880B652","2012","04","Massachusetts       ","02038","747","05119",0,6200
" 680 8966L739","2012","01","New York            ","12550","543","05106",0,4700
"001765C945   ","2013","10","Nebraska            ","68467","612","05121",24125000,740100
"007456N419   ","2013","08","Illinois            ","60077","620","05223",70000,217500
"004D852894   ","2013","08","Oregon              ","97223","156","05122",900000,50700
"001C17567A   ","2013","08","Massachusetts       ","02148","612","05121",18385000,849500
" 680 0C023952","2012","06","California          ","93710","592","05119",0,10900
"006591N644   ","2013","07","Illinois            ","60642","620","05121",147056000,848000
"002803M007   ","2013","04","Illinois            ","60609","612","05121",11595000,374500
" 680 1713M434","2012","03","New Jersey          ","07002","712","05122",563000,41800
"001837A296   ","2013","04","Illinois            ","60647","620","05121",245161000,1971600
"009651N097   ","2013","10","Idaho               ","83856","612","05121",2581000,101500
"005955L639   ","2013","08","Massachusetts       ","01562","612","05122",59000,9900
" 680 7B943886","2012","05","Iowa                ","51501","091","05219",0,46300
" 680 2387R830","2012","06","Virginia            ","22553","612","05219",0,62800
"007664C856   ","2013","09","Texas               ","76087","571","05121",15117000,697000
" 680 2772A341","2012","04","Virginia            ","22546","092","05119",0,55100
"004D373730   ","2013","07","New Jersey          ","07410","665","05224",10000000,27400
" 680 3677P651","2012","06","Michigan            ","48125","712","05219",0,286200
"00763D819A   ","2013","10","Massachusetts       ","01453","612","05121",14642000,795100
"00896Y2331   ","2013","09","Pennsylvania        ","19401","639","05121",6268000,68900
" 680 2467C675","2012","01","Minnesota           ","55806","612","05121",132613000,1349300
"005D270290   ","2013","08","Texas               ","77036","169","05224",10000000,11700
" 680 4972X191","2012","02","North Carolina      ","28160","712","05119",0,40900
" 680 2B78641A","2012","01","Idaho               ","83814","542","05121",3011000,251100
" 680 1718A34A","2012","08","Colorado            ","80906","091","05119",0,99500
" 680 8823N720","2012","08","Massachusetts       ","01720","712","05219",0,113500
" 680 6660P871","2012","08","California          ","94109","597","05119",0,11800
" 680 7304M293","2012","08","Wisconsin           ","53202","620","05219",0,212500
" 680 4971X772","2012","03","California          ","93063","712","05219",0,105300
" 680 4227N525","2012","04","California          ","95757","156","05119",0,12300
"006D563268   ","2013","09","West Virginia       ","25301","010","05223",0,14400
"002D726600   ","2013","06","Illinois            ","60647","638","05224",20000000,27500
"002294P691   ","2013","11","Illinois            ","60559","665","05122",0,19900
"003952M059   ","2013","07","New Jersey          ","07030","620","05121",25219000,342200
" PACP9355P49A","2012","08","Texas               ","79415","612","05121",1808000,122100
" 680 3A457234","2012","08","Virginia            ","24401","092","05219",0,41100
" 680 3321N190","2012","05","California          ","90048","092","05119",0,30500
" 680 7418P619","2012","03","Colorado            ","80127","092","05219",0,7200
"001779M656   ","2013","04","Utah                ","84115","569","05121",8638000,103600
" 680 3010N399","2012","08","New York            ","11365","742","05119",0,237500
" 680 425H9706","2012","06","Maryland            ","20852","691","05219",0,115200
"000E613457   ","2013","12","North Carolina      ","28216","612","05121",4214000,111500
"004362N618   ","2013","05","Illinois            ","60626","620","05121",21424000,260000
"000108C911   ","2013","07","Colorado            ","80221","676","05223",126000,1173400
"00402W6766   ","2013","10","Georgia             ","30342","612","05223",110000,300300
" PACP1951L895","2012","08","Texas               ","75220","994","05111",0,14400
" PACP199M8619","2012","04","Texas               ","77477","049","05132",0,27500
"006B84308A   ","2013","03","Colorado            ","80206","169","05145",10000000,1400
"005162L596   ","2013","09","New Jersey          ","07030","620","05223",10000000,336400
"0034F34376   ","2013","06","New York            ","10707","665","05122",3328000,82600
"00351L7042   ","2013","06","Maine               ","04856","620","05121",0,1327500
" 680 3166C262","2012","03","Mississippi         ","39401","612","05121",22461000,1163600
"00157K364A   ","2013","08","New York            ","10017","636","05122",912000,70100
" 680 3615N930","2012","03","California          ","94572","712","05219",0,104400
"008623B919   ","2013","04","Nevada              ","89128","665","05122",5681000,193400
" 680 4B986334","2012","03","Pennsylvania        ","18301","651","05219",0,76900
" 680 5674A297","2012","08","Alabama             ","35205","651","05106",0,4200
" 680 3991X816","2012","08","Utah                ","84057","712","05219",0,366300
"001C376767   ","2013","07","New York            ","14905","665","05121",4386000,34400
" 680 4A81541A","2012","08","Utah                ","84106","712","05121",4680000,41200
" 680 5B180613","2012","05","California          ","90274","712","05219",0,351100
" 680 4B262356","2012","03","New York            ","11231","110","05119",0,131700
" 680 1603M651","2012","03","North Carolina      ","28128","091","05106",0,2400
"008835M563   ","2013","10","Connecticut         ","06830","416","05224",0,1600
" 680 1941P888","2012","08","Nevada              ","89101","651","05219",0,22400
"001D963459   ","2013","06","West Virginia       ","25071","913","05119",0,7400
"00610M417A   ","2013","12","Massachusetts       ","01036","913","05223",204000,710600
"007A581537   ","2013","10","Arkansas            ","72173","612","05119",0,16400
"009B430984   ","2013","07","Indiana             ","47130","612","05121",6249000,105300
" 680 2B275910","2012","03","Illinois            ","60098","572","05219",0,15600
" 680 7525R654","2012","08","Michigan            ","49801","926","05119",0,2365100
"001A276728   ","2013","06","Minnesota           ","55427","612","05121",39957000,192300
"007534C957   ","2013","10","Nebraska            ","68110","010","05121",47402000,1183300
"009B025942   ","2013","06","Nevada              ","89101","010","05121",25307000,790500
"003A369836   ","2013","08","Ohio                ","43567","620","05121",108534000,725000
"006820W748   ","2013","07","Kentucky            ","40223","454","05121",4445000,135300
" 680 0039C857","2012","06","New York            ","11590","651","05219",0,8500
" 680 2722R022","2012","06","North Carolina      ","28379","093","05106",0,3100
"001B656745   ","2013","11","New York            ","13421","416","05121",1655000,54700
"009449N61A   ","2013","09","Michigan            ","49009","169","05224",10000000,49800
"003D02123A   ","2013","07","Louisiana           ","71112","169","05224",20000000,928300
"008D968187   ","2013","12","Texas               ","78664","169","05122",720000,151700
" 680 0937P226","2012","08","New Jersey          ","08872","712","05121",3749000,24600
"009B927520   ","2013","02","Georgia             ","30102","924","05223",24000,43800
" 680 8661P144","2012","08","California          ","95112","599","05122",32784000,396500
"009B210348   ","2013","08","North Carolina      ","27410","620","05121",50544000,542700
"000C542057   ","2013","01","Arizona             ","85282","164","05224",20000000,24200
" 680 6330L428","2012","08","California          ","94533","741","05121",5873000,221200
" 680 8166X798","2012","05","Illinois            ","60647","620","05106",0,100200
" 680 8150L671","2012","08","Connecticut         ","06610","926","05119",0,61100
"004D356026   ","2013","08","Connecticut         ","06811","983","05223",47000,165300
" 680 5117N52A","2012","08","California          ","92675","926","05119",0,512800
"004775L54A   ","2013","06","Illinois            ","60626","620","05121",8268000,124000
" PACP6902R116","2012","08","Texas               ","77060","456","05132",0,25200
" 680 3A628501","2012","07","Wisconsin           ","53144","651","05119",0,12900
" 680 3866P216","2012","08","Georgia             ","30439","749","05121",1092000,36100
"007C40367A   ","2013","01","Illinois            ","60428","100","05223",3000,67800
"000C288296   ","2013","06","Texas               ","75204","100","05232",20000000,17100
" 680 1A839695","2012","08","California          ","90247","712","05219",0,532500
" 680 1C470910","2012","06","Alabama             ","35173","712","05219",0,184700
"005B015712   ","2013","03","Illinois            ","60564","612","05121",0,89000
" 680 7953X409","2012","08","New York            ","10987","091","05219",0,54600
" 680 3A13396A","2012","05","Illinois            ","60611","926","05119",0,16700
"006C08585A   ","2013","01","Oregon              ","97224","169","05122",1000000,165200
" 680 451M2630","2012","08","Washington          ","98108","651","05119",0,20800
" 680 86K22566","2012","06","New York            ","11548","553","05219",0,7300
"00277Y7765   ","2013","06","Colorado            ","81611","718","05122",294000,55900
"006371C853   ","2013","07","Mississippi         ","39090","665","05121",2440000,47200
" PACP6354M38A","2012","08","Texas               ","78704","049","05233",0,18100
"004C761116   ","2013","10","Illinois            ","60443","592","05224",10000000,147700
"008800L832   ","2013","01","Arizona             ","85641","137","05122",10329000,254900
"006D609183   ","2013","11","New Jersey          ","08837","620","05121",146229000,1621500
"007B833175   ","2013","05","Utah                ","84101","100","05223",4000,98700
"001379X586   ","2013","01","Arizona             ","85250","620","05121",108160000,1017900
" PACP5820P302","2012","01","Texas               ","76116","712","05233",0,140900
"00672W4109   ","2013","11","Colorado            ","80525","612","05121",10074000,194800
" 680 8A203106","2012","08","Ohio                ","43605","712","05121",5250000,59500
" 680 2027C805","2012","08","Mississippi         ","39601","742","05122",1936000,301000
" 680 6341C953","2012","06","New York            ","10306","651","05119",0,16200
" 680 3576P747","2012","01","Nebraska            ","68814","712","05219",0,88500
" 680 1E53385A","2012","08","California          ","95757","595","05119",0,5400
" 680 7C80537A","2012","08","California          ","94085","994","05122",9000000,247100
"001D832459   ","2013","05","Washington          ","98115","010","05223",0,36500
"005163M24A   ","2013","08","Missouri            ","63130","136","05224",10000000,83800
"002C905169   ","2013","08","District of Columbia","20017","592","05122",4000000,191600
" 680 184Y1364","2012","04","Massachusetts       ","02660","712","05219",0,246300
" 680 5911M257","2012","08","California          ","92128","597","05119",0,11100
"001C657891   ","2013","08","Missouri            ","63084","561","05224",10000000,62500
" PACP5475N057","2012","08","Texas               ","78212","030","05132",0,10700
"005346L023   ","2013","07","Illinois            ","60021","169","05121",4876000,137800
"005A083240   ","2013","08","Texas               ","78941","612","05121",4345000,87500
" 680 7B170480","2012","08","California          ","93901","600","05121",80688000,623700
"002D368828   ","2013","05","Illinois            ","60630","100","05219",0,87600
" 680 1350N940","2012","02","New Jersey          ","07024","712","05119",0,47700
"006805N13A   ","2013","08","New York            ","10562","010","05121",0,214400
"004A445104   ","2013","08","Kansas              ","67203","044","05122",1298000,26200
"007675X085   ","2013","06","Oklahoma            ","74601","169","05121",8801000,944800
"006B84308A   ","2013","03","Colorado            ","80206","169","05122",208000,59000
"009C655228   ","2013","04","Michigan            ","48066","620","05121",141100000,1824800
" 680 8221H744","2012","02","Pennsylvania        ","19103","651","05219",0,49200
" 680 1607W254","2012","08","New Jersey          ","07980","599","05119",0,313900
" 680 4A405512","2012","08","Missouri            ","65655","760","05122",880000,193800
" 680 9464L528","2012","08","New York            ","10573","090","05219",0,13500
"006C629230   ","2013","12","Nebraska            ","69162","924","05121",2860000,135800
"008D700785   ","2013","12","Pennsylvania        ","19139","147","05223",3165000,946900
"008668M812   ","2013","11","Connecticut         ","06854","010","05121",21713000,1333900
" 680 9604B13A","2012","08","California          ","93654","741","05122",5381000,839900
" 680 1023M029","2012","08","Oregon              ","97015","092","05219",0,63800
"007093H756   ","2013","10","Iowa                ","52240","612","05121",15827000,389200
"003352X686   ","2013","04","Kentucky            ","40258","169","05224",10000000,42600
" 680 6234P095","2012","01","Indiana             ","47122","745","05121",998000,45900
"00866W7689   ","2013","10","Massachusetts       ","02176","620","05145",10000000,55200
" 680 3001P811","2012","01","Illinois            ","60618","537","05122",104000,13800
" 680 9224L86A","2012","01","North Carolina      ","27573","093","05119",0,25800
"008504B120   ","2013","05","Kentucky            ","40517","676","05223",0,850300
" 680 1392B077","2012","03","Oregon              ","97527","712","05219",0,55800
" PACP4052N051","2012","08","Texas               ","75034","416","05132",0,5700
" 680 0344P574","2012","08","New York            ","10474","599","05119",0,71700
" 680 8B791743","2012","08","California          ","94063","712","05219",0,196100
" 680 2892B186","2012","06","Massachusetts       ","01721","712","05122",639000,71600
"001586N356   ","2013","01","Utah                ","84790","630","05121",24684000,290100
"00505H1573   ","2013","10","New Jersey          ","07010","620","05121",84406000,722600
" PACP9997C173","2012","03","Texas               ","75231","665","05122",8638000,65500
" 680 9A212924","2012","08","Massachusetts       ","02026","712","05121",0,73000
"00234M7870   ","2013","10","Mississippi         ","39209","042","05224",5000000,82200
"005117B488   ","2013","09","Colorado            ","80207","612","05121",59289000,1198700
" 680 6526X438","2012","04","New Jersey          ","07675","712","05122",210000,13300
" 680 8807P832","2012","04","Connecticut         ","06497","651","05219",0,5100
"008D068007   ","2013","10","Nevada              ","89015","010","05223",40000000,89000
"007C47278A   ","2013","02","Texas               ","75402","453","05122",3596000,137400
" 680 8709X773","2012","08","California          ","92705","620","05121",67979000,535900
"007D520475   ","2013","11","Nebraska            ","69301","169","05145",10000000,2200
"005865H636   ","2013","09","Texas               ","75060","718","05132",20000000,24800
"007287M311   ","2013","10","New Hampshire       ","03574","913","05223",39000,66700
" PACP6501N329","2012","06","Texas               ","77302","454","05106",0,1600
"008340X977   ","2013","04","South Carolina      ","29301","612","05121",3367000,53200
"006867X626   ","2013","03","Wisconsin           ","53216","101","05122",1310000,152400
"00361Y4808   ","2013","07","Arkansas            ","72207","612","05121",3482000,278900
"00635D2914   ","2013","09","Colorado            ","81001","620","05121",26625000,829200
" 680 9445N74A","2012","08","California          ","91602","620","05223",40000,163200
" 680 3413X592","2012","02","Indiana             ","47150","600","05121",7828000,104000
"007600X12A   ","2013","03","Nevada              ","89102","661","05224",10000000,12000
"002D628864   ","2013","05","Nevada              ","89148","456","05122",2758000,101400
"000D766048   ","2013","04","New York            ","10007","189","05224",10000000,177400
"001436P927   ","2013","11","Connecticut         ","06443","915","05214",0,2700
" 680 6706L436","2012","08","Oregon              ","97504","755","05122",20967000,92600
" 680 3B236328","2012","03","Kentucky            ","41129","926","05119",0,90600
"008B240411   ","2013","05","Utah                ","84057","010","05121",36629000,601200
"00326C9183   ","2013","07","New York            ","14424","665","05224",20000000,121500
" 680 596H4792","2012","01","Kentucky            ","40502","599","05106",0,8600
"003A362270   ","2013","06","Colorado            ","80033","612","05121",10410000,195300
" 680 3016P688","2012","08","California          ","94080","091","05119",0,24700
" 680 6C910552","2012","08","California          ","91746","712","05213",0,7500
"005452M859   ","2013","10","Oregon              ","97401","665","05224",10000000,20800
"00451P1894   ","2013","03","North Carolina      ","28092","600","05121",91094000,2211600
"001D905432   ","2013","06","Massachusetts       ","02134","620","05121",100000000,984600
"006D381633   ","2013","10","New York            ","10461","010","05223",0,854900
"001691R528   ","2013","06","Massachusetts       ","01810","556","05122",3342000,118000
" 680 385P4659","2012","08","Missouri            ","63021","651","05106",0,34400
"007358N684   ","2013","06","Texas               ","77954","100","05232",10000000,29200
" 680 261M5125","2012","08","Illinois            ","60453","712","05219",0,121200
"008A381236   ","2013","11","Illinois            ","60641","620","05121",43689000,550700
"006798C953   ","2013","08","Tennessee           ","38128","123","05122",1103000,295500
"0085K7993A   ","2013","07","Illinois            ","61301","638","05122",1356000,32600
" 680 3582X640","2012","08","Mississippi         ","39701","661","05213",0,3800
"007242M065   ","2013","10","Kentucky            ","40965","100","05122",2767000,58700
"007587C115   ","2013","10","Texas               ","77056","595","05223",5000000,549900
"005D634329   ","2013","09","Texas               ","75093","665","05121",9991000,155900
" 680 7059R270","2012","08","New York            ","13037","712","05119",0,13400
"001C810700   ","2013","08","Oklahoma            ","73018","543","05131",0,15800
" 680 3647N903","2012","04","Alabama             ","36117","994","05119",0,162500
" 680 5535A84A","2012","04","Michigan            ","48218","718","05106",0,4400
"002A821677   ","2013","07","Arkansas            ","72358","416","05121",6974000,287700
" 680 3B142858","2012","02","New Jersey          ","07463","712","05119",0,33100
" 680 7608M461","2012","08","New Jersey          ","07470","111","05122",550000,4600
"001B253944   ","2013","12","Michigan            ","48312","620","05121",155059000,860400
"000D128769   ","2013","03","Massachusetts       ","02050","134","05219",0,107200
"008A284319   ","2013","12","Texas               ","76201","665","05121",4317000,110100
"005687P049   ","2013","03","Colorado            ","81008","600","05223",5000000,43900
"00239Y6747   ","2013","06","Louisiana           ","71201","612","05121",2402000,90400
" PACP0318R773","2012","05","Texas               ","75232","416","05106",0,31600
" 680 2462N578","2012","03","California          ","91604","691","05219",0,24800
"004791L692   ","2013","10","Washington          ","98671","100","05223",4000,233300
"006182N584   ","2013","08","Missouri            ","64064","612","05121",20486000,441500
"005117W489   ","2013","09","North Carolina      ","27408","612","05121",3615000,78700
"005876R839   ","2013","07","Utah                ","84780","620","05121",102752000,701600
"007134C73A   ","2013","08","Georgia             ","30062","676","05223",138000,711100
"000D395405   ","2013","08","Indiana             ","46706","169","05224",10000000,92000
" 680 7219M142","2012","08","California          ","90505","091","05219",0,199000
" 680 5812X457","2012","08","California          ","91206","691","05106",0,24900
"008A901302   ","2013","12","Georgia             ","30642","620","05223",80000000,83400
" 680 8B012186","2012","08","California          ","91758","599","05219",0,13700
"005D279905   ","2013","08","New Jersey          ","08016","676","05223",10000000,313200
" 680 1A457877","2012","08","New York            ","14012","712","05219",0,99800
"004C571763   ","2013","11","North Carolina      ","27563","123","05122",0,38000
"006193M529   ","2013","10","Wisconsin           ","53202","620","05121",244528000,1254900
"001C90166A   ","2013","08","Texas               ","78731","100","05232",60000000,139600
"009472P029   ","2013","05","North Carolina      ","27704","010","05223",180000000,325200
"005713R067   ","2013","08","Washington          ","98383","924","05125",10000000,27500
" 680 0907N890","2012","02","New York            ","10314","091","05219",0,268300
" 680 7546H528","2012","01","Minnesota           ","55402","416","05119",0,101100
" 680 4273A399","2012","02","Pennsylvania        ","18104","543","05122",5000000,173600
"003B014897   ","2013","03","North Carolina      ","27107","169","05224",10000000,68600
"009784N435   ","2013","05","Tennessee           ","37211","100","05223",5801000,1201700
"005064B522   ","2013","12","Illinois            ","60430","612","05121",2080000,81500
" 680 2A465875","2012","06","California          ","96001","651","05119",0,12700
" 680 0479P432","2012","08","North Carolina      ","28904","712","05121",2646000,138400
"004310A363   ","2013","12","New York            ","10462","612","05121",4931000,247900
"005956M263   ","2013","08","Arkansas            ","72437","612","05121",10403000,898800
"003B014897   ","2013","03","North Carolina      ","27107","169","05131",10000000,7000
" 680 6B386441","2012","03","Massachusetts       ","02131","968","05122",10000,2700
" 680 2761L354","2012","08","California          ","94590","651","05119",0,16100
"004D773473   ","2013","08","South Carolina      ","29115","718","05121",2200000,71700
"008C502238   ","2013","01","Texas               ","76543","111","05122",300000,60200
"002D855286   ","2013","06","Arizona             ","85281","010","05121",5434000,125800
"006630C148   ","2013","07","New York            ","14810","595","05224",10000000,27700
" 680 9390P189","2012","04","New Jersey          ","08817","091","05119",0,40400
" 680 3714X39A","2012","02","California          ","92656","712","05219",0,94200
" 680 6387X538","2012","08","Missouri            ","63102","651","05105",0,11600
"002338M326   ","2013","04","Wisconsin           ","54234","620","05223",10000000,85100
" 680 835C8470","2012","08","Massachusetts       ","02721","741","05122",365000,246500
" 680 4B019079","2012","03","California          ","95376","712","05219",0,151600
"008B619144   ","2013","05","Tennessee           ","38128","010","05223",10000000,796600
" 680 8A78274A","2012","08","Virginia            ","22044","599","05119",0,16400
" PACP8299M694","2012","08","Texas               ","75007","712","05233",0,66600
" 680 644M828A","2012","01","Wyoming             ","82070","712","05219",0,67700
" 680 5821I411","2012","08","Pennsylvania        ","15647","755","05106",0,572100
" 680 7166P368","2012","03","Illinois            ","60426","093","05219",0,15900
"001C656231   ","2013","10","Kansas              ","66103","956","05223",356000,1037500
"003C772981   ","2013","09","Nevada              ","89129","612","05121",40927000,310800
"008225W015   ","2013","01","Arizona             ","85718","612","05223",20000000,132000
"007D632528   ","2013","12","Washington          ","98072","676","05223",119000,302500
"00610M4107   ","2013","11","Minnesota           ","55441","665","05122",2840000,28700
"007286M873   ","2013","09","Alabama             ","36863","169","05122",223000,57900
"002A852654   ","2013","06","New York            ","12866","169","05223",576000,236800
"00451W7592   ","2013","01","Arizona             ","85715","665","05122",15750000,316000
" 680 7947H268","2012","01","Colorado            ","80919","651","05219",0,25100
"001865P328   ","2013","10","Missouri            ","65807","612","05223",10000000,104000
"001C726225   ","2013","07","Indiana             ","46224","620","05223",10000000,466400
"000D774362   ","2013","04","Rhode Island        ","02893","913","05223",28000,67300
"009B626514   ","2013","07","Connecticut         ","06002","620","05121",466468000,4395100
" 680 1A554585","2012","08","Washington          ","98682","651","05219",0,8700
"00447M5482   ","2013","12","Arkansas            ","72032","719","05224",10000000,11700
"008825N983   ","2013","08","North Carolina      ","27260","620","05121",77234000,1231400
"007474R999   ","2013","10","Nevada              ","89106","639","05122",650000,41500
"005956R864   ","2013","07","New York            ","14701","100","05122",2100000,139200
"00443H3995   ","2013","10","New Jersey          ","07306","620","05121",6578000,218800
" 680 6702L112","2012","08","New Jersey          ","07643","712","05219",0,72600
"005C820665   ","2013","12","Alabama             ","36116","010","05223",208000,793500
" 680 2901A235","2012","08","New Jersey          ","07030","691","05219",0,89200
"00475L9016   ","2013","07","New York            ","10021","665","05122",3600000,394200
"006178L426   ","2013","08","North Carolina      ","28472","496","05122",2931000,113100
"009A213158   ","2013","12","Alabama             ","35453","620","05121",15186000,605100
" 680 3109C010","2012","02","Louisiana           ","71111","712","05219",0,280200
"008113P27A   ","2013","03","Utah                ","84059","612","05223",10000000,56400
"007515N669   ","2013","07","New York            ","14592","641","05121",6640000,40600
" 680 8558X47A","2012","03","Illinois            ","60657","620","05219",0,595900
" 680 7A543060","2012","08","New Jersey          ","08638","968","05121",5200000,87600
"004796N758   ","2013","05","Indiana             ","47404","620","05121",64124000,1181000
"008525C934   ","2013","11","Montana             ","59715","620","05121",333882000,2630600
"003015A757   ","2013","07","Nevada              ","89108","612","05121",9193000,154300
"005160L843   ","2013","08","Massachusetts       ","01569","100","05121",9773000,116200
"006D174841   ","2013","10","Illinois            ","60435","636","05121",30598000,154600
" 680 5883X991","2012","08","Massachusetts       ","02062","719","05122",36326000,603700
"002004P692   ","2013","11","Pennsylvania        ","19020","984","05223",17000,93500
" 680 3123X540","2012","08","New Jersey          ","07067","712","05219",0,530000
" 680 3758C57A","2012","08","Louisiana           ","70520","546","05119",0,173600
" 680 2491R633","2012","08","California          ","95136","620","05121",371492000,2173600
"007A574583   ","2013","11","New Jersey          ","08109","169","05224",10000000,49800
" 680 3C835671","2012","08","California          ","93907","091","05119",0,30100
"008D146991   ","2013","11","Illinois            ","60478","620","05121",24084000,237000
"008915M366   ","2013","11","Maryland            ","21782","112","05224",10000000,24600
